Date,Close/Last,Volume,Open,High,Low
09/09/2025,$114.2234,13633,$111.6076,$120.327,$111.6076
09/08/2025,$112.4796,21239,$119.455,$122.0708,$110.7357
09/05/2025,$122.9428,40654,$123.8147,$143.8692,$119.455
09/04/2025,$131.6621,470867,$100.2725,$188.3379,$95.9128
09/03/2025,$106.376,45626,$135.1499,$136.8937,$104.6322
09/02/2025,$146.485,42867,$146.485,$149.1008,$132.5341
08/29/2025,$174.3869,650773,$182.6703,$208.3924,$158.6921
08/28/2025,$151.7166,65148,$218.8556,$239.1717,$142.9973
08/27/2025,$314.7684,2382,$338.3106,$344.4142,$305.1858
08/26/2025,$339.1826,2568,$360.109,$378.4196,$331.3352
08/25/2025,$370.5722,9138,$365.3406,$383.6512,$348.7738
08/22/2025,$373.188,994,$349.6458,$374.9319,$335.6948
08/21/2025,$351.3896,1068,$381.0354,$388.8828,$344.4142
08/20/2025,$393.2425,823,$394.1144,$400.218,$382.7793
08/19/2025,$396.7302,1049,$410.6812,$429.6458,$394.9864
08/18/2025,$422.0164,1097,$422.8883,$436.8392,$399.782
08/15/2025,$428.1199,1201,$425.5041,$449.0463,$418.5286
08/14/2025,$434.2234,2723,$435.9673,$477.8202,$428.1286
08/13/2025,$464.7411,5988,$414.1689,$500.4817,$414.1689
08/12/2025,$432.4796,3340,$428.9918,$453.3973,$420.2725
08/11/2025,$431.6076,5905,$541.4714,$572.861,$422.8883
08/08/2025,$567.6294,100520,$428.1199,$729.8093,$409.7831
08/07/2025,$425.5041,3350,$455.1499,$501.3624,$422.8883
08/06/2025,$457.8725,2845,$528.6783,$528.6783,$442.4369
08/05/2025,$528.6783,6836,$707.9967,$714.1002,$510.6732
08/04/2025,$817.8583,2317,$762.9275,$903.3062,$762.9275
08/01/2025,$762.9275,1632,$775.1344,$809.9849,$732.4104
07/31/2025,$860.5822,2955,$1019.2712,$1025.3136,$835.5582
07/30/2025,$1013.1678,3811,$1031.478,$1208.4772,$994.8575
07/29/2025,$1116.9259,9623,$1184.0635,$1208.4772,$903.4283
07/28/2025,$1324.4422,130658,$1739.4748,$2026.3355,$1290.8734
07/25/2025,$1293.9251,132677,$714.1002,$1477.0277,$695.7899
07/24/2025,$683.5831,6428,$689.6865,$714.1002,$646.9625
07/23/2025,$726.307,3316,$793.4446,$793.4446,$708.6681
07/22/2025,$750.7207,12097,$784.2895,$805.5904,$732.4104
07/21/2025,$842.272,3212,$927.7199,$1025.3746,$842.272
07/18/2025,$927.7199,639,$946.0301,$982.6506,$912.2782
07/17/2025,$988.7541,1717,$1019.2712,$1037.5814,$933.8233
07/16/2025,$1104.7191,8089,$878.8925,$1104.7191,$842.272
07/15/2025,$903.3062,44820,$1037.5814,$1153.5464,$903.3062
07/14/2025,$1025.3746,1328,$1422.0969,$1482.6428,$1025.3746
07/11/2025,$1403.7866,1032,$1959.1979,$2074.7356,$1373.2695
07/10/2025,$1898.1637,517,$2545.1262,$2545.1262,$1800.57
07/09/2025,$2484.092,30,$2539.0228,$2593.9536,$2447.4715
07/08/2025,$2551.2296,80,$2752.6425,$2850.2972,$2484.092
07/07/2025,$2709.9186,21,$2746.5391,$2764.8493,$2676.3498
07/03/2025,$2774.0045,15,$2661.0912,$2825.8835,$2642.7809
07/02/2025,$2679.4015,31,$2651.9361,$2719.0737,$2561.3613
07/01/2025,$2593.9536,51,$2539.0228,$2615.3155,$2471.8852
06/30/2025,$2618.3673,40,$2563.4365,$2624.4707,$2429.1612
06/27/2025,$2508.5057,24,$2563.4365,$2612.2638,$2502.4023
06/26/2025,$2569.5399,19,$2557.3331,$2685.5049,$2532.9194
06/25/2025,$2560.3848,37,$2642.7809,$2789.0799,$2535.9711
06/24/2025,$2648.8844,35,$2740.4357,$2858.9641,$2648.8844
06/23/2025,$2758.7459,29,$2703.8151,$2967.4829,$2703.8151
06/20/2025,$2767.9011,104,$2960.1588,$2972.3656,$2624.4707
06/18/2025,$2990.6759,199,$2813.6767,$3222.6059,$2502.4023
06/17/2025,$2831.987,255,$2227.7484,$2838.0904,$2221.6449
06/16/2025,$2197.2313,53,$2337.6099,$2416.9544,$2197.2313
06/13/2025,$2309.7429,33,$2552.4758,$2552.4758,$2289.2205
06/12/2025,$2602.5244,61,$2627.5487,$2815.2307,$2539.9637
06/11/2025,$2802.7186,41,$3027.937,$3031.9409,$2752.67
06/10/2025,$2952.8642,21,$3052.9613,$3074.7324,$2777.6943
06/09/2025,$3052.9613,17,$3103.0099,$3103.0099,$3027.937
06/06/2025,$3052.9613,49,$3303.204,$3365.7647,$2952.8642
06/05/2025,$3328.2283,43,$3178.0827,$3478.3739,$3178.0827
06/04/2025,$3203.1069,27,$3103.0099,$3303.204,$3103.0099
06/03/2025,$3163.0681,22,$3052.9613,$3227.1302,$3027.937
06/02/2025,$3153.0584,8,$3178.0827,$3178.0827,$3052.9613
05/30/2025,$3128.0341,14,$3128.0341,$3128.0341,$3052.9613
05/29/2025,$3077.9856,16,$3128.0341,$3178.0827,$3052.9613
05/28/2025,$3103.0099,25,$3315.7162,$3375.0237,$3027.937
05/27/2025,$3253.1555,17,$3478.3739,$3478.3739,$3228.1312
05/23/2025,$3378.2769,20,$3403.3011,$3453.3497,$3303.204
05/22/2025,$3403.3011,18,$3653.5439,$3653.5439,$3403.3011
05/21/2025,$3553.4468,14,$3478.3739,$3553.4468,$3403.3011
05/20/2025,$3578.471,16,$3528.4225,$3628.5196,$3453.3497
05/19/2025,$3603.4953,15,$3428.3254,$3603.4953,$3378.2769
05/16/2025,$3428.3254,23,$3628.5196,$3628.5196,$3403.3011
05/15/2025,$3403.3011,25,$3560.2033,$3560.2033,$3403.3011
05/14/2025,$3553.4468,16,$3753.6409,$3753.6409,$3478.3739
05/13/2025,$3603.4953,55,$3528.4225,$4003.8837,$3528.4225
05/12/2025,$3528.4225,34,$3978.8594,$4037.4162,$3503.3982
05/09/2025,$3803.6895,18,$3928.8109,$4003.8837,$3803.6895
05/08/2025,$4053.9322,59,$4028.908,$4078.9565,$3853.738
05/07/2025,$4003.8837,18,$4078.9565,$4204.0779,$3903.7866
